date,count_rate
2012-08-01,101.877
2012-08-02,101.429
2012-08-03,101.485
2012-08-04,101.570
2012-08-05,101.576
2012-08-06,101.487
2012-08-07,101.621
2012-08-08,101.817
2012-08-09,102.287
2012-08-10,102.308
2012-08-11,102.041
2012-08-12,102.369
2012-08-13,101.896
2012-08-14,101.918
2012-08-15,102.089
2012-08-16,102.432
2012-08-17,102.786
2012-08-18,103.003
2012-08-19,103.026
2012-08-20,102.532
2012-08-21,102.107
2012-08-22,102.222
2012-08-23,102.844
2012-08-24,103.039
2012-08-25,103.249
2012-08-26,103.137
2012-08-27,102.998
2012-08-28,103.524
2012-08-29,103.714
2012-08-30,104.034
2012-08-31,104.439
2012-09-01,104.399
2012-09-02,104.365
2012-09-03,103.681
2012-09-04,102.472
2012-09-05,100.256
2012-09-06,101.222
2012-09-07,102.740
2012-09-08,103.559
2012-09-09,103.824
2012-09-10,104.029
2012-09-11,104.226
2012-09-12,104.526
2012-09-13,104.021
2012-09-14,104.028
2012-09-15,104.301
2012-09-16,104.483
2012-09-17,104.461
2012-09-18,104.401
2012-09-19,103.823
2012-09-20,104.309
2012-09-21,104.390
2012-09-22,104.492
2012-09-23,104.843
2012-09-24,105.085
2012-09-25,105.352
2012-09-26,104.828
2012-09-27,104.230
2012-09-28,104.841
2012-09-29,104.995
2012-09-30,104.576
2012-10-01,103.844
2012-10-02,102.881
2012-10-03,103.662
2012-10-04,104.362
2012-10-05,104.534
2012-10-06,105.038
2012-10-07,104.015
2012-10-08,102.969
2012-10-09,103.344
2012-10-10,102.367
2012-10-11,102.951
2012-10-12,102.540
2012-10-13,101.917
2012-10-14,102.286
2012-10-15,102.713
2012-10-16,103.098
2012-10-17,103.584
2012-10-18,103.384
2012-10-19,103.593
2012-10-20,103.911
2012-10-21,104.085
2012-10-22,104.385
2012-10-23,104.910
2012-10-24,104.993
2012-10-25,105.564
2012-10-26,105.298
2012-10-27,105.210
2012-10-28,104.964
2012-10-29,105.145
2012-10-30,104.976
2012-10-31,105.007
2012-11-01,103.678
2012-11-02,104.193
2012-11-03,104.635
2012-11-04,105.045
2012-11-05,105.181
2012-11-06,105.313
2012-11-07,105.337
2012-11-08,105.345
2012-11-09,105.844
2012-11-10,105.614
2012-11-11,105.728
2012-11-12,106.134
2012-11-13,104.203
2012-11-14,103.856
2012-11-15,103.463
2012-11-16,104.052
2012-11-17,104.661
2012-11-18,104.929
2012-11-19,104.855
2012-11-20,104.438
2012-11-21,103.981
2012-11-22,104.086
2012-11-23,104.463
2012-11-24,102.401
2012-11-25,101.779
2012-11-26,102.591
2012-11-27,102.898
2012-11-28,103.553
2012-11-29,103.754
2012-11-30,104.310
2012-12-01,104.406
2012-12-02,103.664
2012-12-03,103.640
2012-12-04,103.807
2012-12-05,104.210
2012-12-06,104.892
2012-12-07,105.257
2012-12-08,105.520
2012-12-09,105.563
2012-12-10,105.528
2012-12-11,105.630
2012-12-12,104.878
2012-12-13,105.383
2012-12-14,105.278
2012-12-15,105.019
2012-12-16,104.820
2012-12-17,104.673
2012-12-18,105.109
2012-12-19,104.977
2012-12-20,104.493
2012-12-21,104.603
2012-12-22,105.092
2012-12-23,105.451
2012-12-24,105.653
2012-12-25,105.885
2012-12-26,106.049
2012-12-27,105.846
2012-12-28,105.905
2012-12-29,105.677
2012-12-30,105.215
2012-12-31,105.300
2013-01-01,105.407
2013-01-02,105.487
2013-01-03,105.799
2013-01-04,105.631
2013-01-05,106.193
2013-01-06,106.079
2013-01-07,105.781
2013-01-08,105.701
2013-01-09,105.824
2013-01-10,106.300
2013-01-11,105.814
2013-01-12,105.705
2013-01-13,105.738
2013-01-14,105.704
2013-01-15,105.987
2013-01-16,105.780
2013-01-17,105.389
2013-01-18,104.561
2013-01-19,103.814
2013-01-20,103.632
2013-01-21,104.563
2013-01-22,104.880
2013-01-23,105.364
2013-01-24,105.954
2013-01-25,105.965
2013-01-26,105.317
2013-01-27,104.493
2013-01-28,104.241
2013-01-29,104.665
2013-01-30,105.599
2013-01-31,106.048
2013-02-01,106.200
2013-02-02,105.994
2013-02-03,105.754
2013-02-04,105.735
2013-02-05,106.088
2013-02-06,105.803
2013-02-07,105.750
2013-02-08,105.503
2013-02-09,105.521
2013-02-10,105.758
2013-02-11,106.136
2013-02-12,106.027
2013-02-13,105.307
2013-02-14,105.327
2013-02-15,105.340
2013-02-16,105.234
2013-02-17,104.131
2013-02-18,104.672
2013-02-19,105.200
2013-02-20,105.506
2013-02-21,105.108
2013-02-22,105.294
2013-02-23,105.287
2013-02-24,105.446
2013-02-25,105.257
2013-02-26,105.000
2013-02-27,105.133
2013-02-28,105.127
2013-03-01,105.738
2013-03-02,105.768
2013-03-03,106.011
2013-03-04,105.405
2013-03-05,105.379
2013-03-06,105.649
2013-03-07,105.967
2013-03-08,106.414
2013-03-09,106.461
2013-03-10,106.415
2013-03-11,106.559
2013-03-12,106.655
2013-03-13,106.716
2013-03-14,106.009
2013-03-15,104.826
2013-03-16,103.821
2013-03-17,102.053
2013-03-18,100.886
2013-03-19,100.347
2013-03-20,101.435
2013-03-21,102.238
2013-03-22,102.399
2013-03-23,103.040
2013-03-24,103.765
2013-03-25,104.152
2013-03-26,104.047
2013-03-27,104.056
2013-03-28,104.469
2013-03-29,104.786
2013-03-30,104.457
2013-03-31,104.667
2013-04-01,104.937
2013-04-02,105.312
2013-04-03,105.688
2013-04-04,106.003
2013-04-05,106.305
2013-04-06,105.754
2013-04-07,105.832
2013-04-08,105.701
2013-04-09,106.059
